"intensity","area","year","depth","length","sex","age"
1,"soroya",1999,85,60,1,5
1,"soroya",1999,85,52,0,5
1,"soroya",1999,85,36,0,2
1,"soroya",1999,85,48,0,3
1,"soroya",1999,85,23,1,1
1,"soroya",1999,137,74,0,5
1,"soroya",1999,137,70,0,4
1,"mageroya",1999,150,57,1,4
1,"mageroya",1999,150,37,0,2
1,"mageroya",1999,150,54,0,5
1,"mageroya",1999,150,50,0,3
1,"mageroya",1999,100,51,1,3
1,"mageroya",1999,220,55,1,5
1,"mageroya",1999,220,35,1,3
1,"mageroya",1999,220,42,1,4
1,"tanafjord",1999,99,58,1,3
1,"tanafjord",1999,270,55,1,4
1,"tanafjord",1999,270,60,1,6
1,"tanafjord",1999,270,56,1,5
1,"tanafjord",1999,270,45,1,3
1,"varangerfjord",1999,235,43,1,3
1,"varangerfjord",1999,235,43,1,3
1,"varangerfjord",1999,278,42,0,3
1,"soroya",1999,200,67,1,6
1,"soroya",1999,200,76,0,6
1,"soroya",1999,200,60,1,5
1,"soroya",1999,200,58,1,5
1,"soroya",1999,200,58,1,6
1,"soroya",1999,200,91,0,10
1,"tanafjord",1999,99,50,0,4
1,"tanafjord",1999,99,57,1,5
1,"varangerfjord",1999,278,73,1,5
1,"soroya",1999,137,60,0,5
2,"soroya",1999,85,65,0,5
2,"soroya",1999,85,42,1,3
2,"soroya",1999,200,61,0,5
2,"soroya",1999,200,48,1,4
2,"soroya",1999,137,55,1,4
2,"soroya",1999,137,31,0,2
2,"mageroya",1999,292,59,0,4
2,"mageroya",1999,292,62,0,5
2,"tanafjord",1999,99,53,0,5
2,"tanafjord",1999,270,47,1,4
2,"tanafjord",1999,270,47,1,4
2,"tanafjord",1999,270,48,1,4
2,"tanafjord",1999,270,34,0,2
2,"tanafjord",1999,256,49,0,3
2,"tanafjord",1999,172,53,0,4
2,"tanafjord",1999,172,31,1,2
2,"varangerfjord",1999,235,55,0,4
2,"varangerfjord",1999,235,55,1,4
2,"varangerfjord",1999,278,60,1,5
2,"varangerfjord",1999,278,65,1,5
2,"varangerfjord",1999,110,52,1,4
2,"varangerfjord",1999,110,53,0,4
2,"soroya",1999,200,58,1,5
2,"soroya",1999,200,57,0,5
2,"soroya",1999,200,63,0,6
2,"soroya",1999,200,57,1,5
2,"soroya",1999,200,52,1,4
2,"soroya",1999,200,64,0,6
2,"soroya",1999,200,56,1,5
2,"soroya",1999,200,53,1,5
2,"soroya",1999,200,55,1,5
3,"soroya",1999,85,38,0,2
3,"soroya",1999,85,52,0,4
3,"soroya",1999,85,36,1,2
3,"soroya",1999,85,31,1,2
3,"soroya",1999,85,36,1,2
3,"soroya",1999,85,32,1,2
3,"soroya",1999,200,43,0,3
3,"soroya",1999,137,42,0,3
3,"soroya",1999,137,60,0,4
3,"tanafjord",1999,256,53,1,3
3,"soroya",1999,200,83,0,6
3,"soroya",1999,200,55,0,5
3,"soroya",1999,200,60,0,5
3,"soroya",1999,200,64,1,6
3,"tanafjord",1999,99,70,0,8
3,"tanafjord",1999,99,54,1,4
3,"soroya",1999,137,76,0,5
3,"soroya",1999,137,77,0,7
4,"soroya",1999,85,38,1,2
4,"soroya",1999,137,51,1,4
4,"mageroya",1999,220,42,1,2
4,"tanafjord",1999,270,81,0,8
4,"tanafjord",1999,270,41,1,3
4,"tanafjord",1999,256,62,0,4
4,"tanafjord",1999,256,61,1,7
4,"tanafjord",1999,256,57,0,4
