Fach;LV;Beschreibung;Start date;Start time;End date;End time;Duration;Tags;Studienphase;Semester
;Vorbereitung, Planung, Organisation;In Bücher reingeschaut;31.08.18;10:54:23;31.08.18;12:09:23;1:15:00;;STEOP;WS2018
STATMATH;Mathematik;Mathe Überblick;01.09.18;05:41:28;01.09.18;06:58:05;1:15:00;Vorbereitung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;VWL Überblick;01.09.18;07:04:37;01.09.18;08:19:38;1:15:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;04.09.18;07:14:48;04.09.18;08:29:52;1:15:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;04.09.18;09:42:33;04.09.18;10:57:33;1:15:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;04.09.18;13:50:52;04.09.18;15:06:00;1:15:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;04.09.18;18:47:20;04.09.18;19:46:43;0:59:23;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;05.09.18;08:15:53;05.09.18;09:30:53;1:15:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;05.09.18;12:14:05;05.09.18;13:29:08;1:15:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;05.09.18;10:05:20;05.09.18;11:19:04;1:13:44;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;05.09.18;11:27:42;05.09.18;11:52:59;0:25:17;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;06.09.18;07:30:02;06.09.18;08:45:02;1:15:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;06.09.18;08:55:06;06.09.18;10:10:06;1:15:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;06.09.18;15:13:06;06.09.18;16:28:06;1:15:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;06.09.18;17:53:20;06.09.18;19:00:08;1:06:48;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;06.09.18;10:23:55;06.09.18;10:38:00;0:14:05;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;09.09.18;08:00:00;09.09.18;09:30:00;1:30:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;09.09.18;09:50:23;09.09.18;11:05:23;1:15:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;09.09.18;11:45:37;09.09.18;12:30:37;0:45:00;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;09.09.18;18:15:07;09.09.18;18:51:36;0:36:29;Vorbereitung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;Exkurs;10.09.18;11:08:12;10.09.18;12:33:14;1:25:02;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;Exkurs;10.09.18;13:00:45;10.09.18;14:22:36;1:21:51;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 2;11.09.18;15:03:45;11.09.18;16:10:59;1:07:14;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 2;11.09.18;10:30:06;11.09.18;11:30:41;1:00:35;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 2;11.09.18;14:05:15;11.09.18;14:45:59;0:40:44;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 2;12.09.18;10:06:01;12.09.18;11:55:34;1:49:33;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 1;12.09.18;14:54:51;12.09.18;16:04:19;1:09:28;Vorlesung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;Einführungsvortrag;17.09.18;08:11:58;17.09.18;14:12:09;6:00:11;Vorlesung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;18.09.18;16:24:31;18.09.18;17:25:40;1:01:09;Vorbereitung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 1;18.09.18;12:32:43;18.09.18;13:20:09;0:47:26;Vorlesung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;18.09.18;17:49:41;18.09.18;18:27:03;0:37:22;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;Mathe Vorkurs;19.09.18;16:04:30;19.09.18;17:34:30;1:30:00;Vorbereitung;STEOP;WS2018
;Vorbereitung, Planung, Organisation;ÖH Kurse gebucht, STEOP informiert;19.09.18;08:00:36;19.09.18;09:00:24;0:59:48;;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;LV Fallstudie Teil 1;20.09.18;13:00:39;20.09.18;14:15:39;1:15:00;Vorlesung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;LV Fallstudie Teil 1;20.09.18;15:19:06;20.09.18;16:34:06;1:15:00;Vorlesung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;LV Fallstudie Teil 1;20.09.18;14:15:46;20.09.18;15:05:36;0:49:50;Vorlesung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;Einführungsvortrag;21.09.18;12:39:24;21.09.18;14:30:24;1:51:00;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 4;23.09.18;13:13:23;23.09.18;14:28:23;1:15:00;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 4;23.09.18;10:44:10;23.09.18;11:47:09;1:02:59;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 3;23.09.18;14:28:34;23.09.18;15:00:01;0:31:27;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 4;24.09.18;14:57:02;24.09.18;15:57:12;1:00:10;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 3+4 Whd;25.09.18;14:58:03;25.09.18;16:13:03;1:15:00;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 5;25.09.18;17:31:12;25.09.18;18:33:35;1:02:23;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;wdh 6;26.09.18;17:18:39;26.09.18;18:33:39;1:15:00;Nachbereitung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 6+7;26.09.18;12:11:09;26.09.18;13:25:50;1:14:41;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;wdh 5;26.09.18;15:27:18;26.09.18;16:20:58;0:53:40;Nachbereitung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;LE 8;27.09.18;15:38:40;27.09.18;17:49:38;2:10:58;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;wdh 6;27.09.18;12:00:02;27.09.18;13:15:02;1:15:00;Nachbereitung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;wdh 7;30.09.18;15:58:27;30.09.18;17:13:27;1:15:00;Nachbereitung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;wdh 7;30.09.18;17:22:32;30.09.18;18:20:44;0:58:12;Nachbereitung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;Prüfung üben;01.10.18;11:13:11;01.10.18;12:28:11;1:15:00;Prüfungsvorbereitung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;Prüfung üben;01.10.18;17:41:36;01.10.18;18:53:40;1:12:04;Prüfungsvorbereitung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;Prüfung üben;01.10.18;07:36:56;01.10.18;08:39:24;1:02:28;Prüfungsvorbereitung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;Prüfung üben;01.10.18;12:58:30;01.10.18;13:30:35;0:32:05;Prüfungsvorbereitung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;Vorlesung 2;02.10.18;11:19:54;02.10.18;12:34:54;1:15:00;Vorlesung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;Vorlesung 3;02.10.18;14:45:44;02.10.18;16:00:44;1:15:00;Vorlesung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;Vorlesung 1 wdh;02.10.18;12:40:12;02.10.18;13:41:24;1:01:12;Vorlesung;STEOP;WS2018
Rechtswissenschaft;Europäisches und öffentliches Wirtschaftsrecht I;Prüfung schreiben;02.10.18;09:30:08;02.10.18;10:30:08;1:00:00;Prüfungsvorbereitung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;Vorlesung 3;02.10.18;16:00:54;02.10.18;16:27:41;0:26:47;Vorlesung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;prüfung üben;03.10.18;17:53:39;03.10.18;19:20:39;1:27:00;Prüfungsvorbereitung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;Vorlesung 4;03.10.18;13:00:43;03.10.18;14:15:43;1:15:00;Vorlesung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;Vorlesung 4;03.10.18;10:56:59;03.10.18;12:04:49;1:07:50;Vorlesung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;Vorlesung 5;03.10.18;14:15:50;03.10.18;15:00:47;0:44:57;Vorlesung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;Vorlesung 4;03.10.18;07:20:06;03.10.18;08:00:06;0:40:00;Vorlesung;STEOP;WS2018
BWL;Einführung in die Betriebswirtschaftslehre;Vorlesung 5;03.10.18;15:17:52;03.10.18;15:30:52;0:13:00;Vorlesung;STEOP;WS2018
STATMATH;Mathematik;mathe vorkus;04.10.18;10:20:35;04.10.18;11:00:32;0:39:57;Vorbereitung;STEOP;WS2018
STATMATH;Mathematik;mathe vorkus;05.10.18;08:00:21;05.10.18;08:50:44;0:50:23;Vorbereitung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Vorlesung 1;08.10.18;13:30:39;08.10.18;18:30:51;5:00:12;Vorlesung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;ÖH Vorlesung;11.10.18;18:30:37;11.10.18;21:30:39;3:00:02;Vorlesung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Vorlesung;12.10.18;19:00:03;12.10.18;21:30:40;2:30:37;Vorlesung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Hausübungen;12.10.18;16:19:58;12.10.18;17:34:58;1:15:00;;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Hausübungen;12.10.18;15:16:27;12.10.18;16:19:52;1:03:25;;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Vorlesung;13.10.18;11:30:17;13.10.18;17:30:17;6:00:00;Vorlesung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Hausübungen;13.10.18;09:16:20;13.10.18;10:31:20;1:15:00;;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Hausübungen;13.10.18;20:01:02;13.10.18;21:07:08;1:06:06;Nachbereitung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Hausübungen;14.10.18;09:34:21;14.10.18;10:49:21;1:15:00;Nachbereitung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Hausübungen;14.10.18;11:30:39;14.10.18;12:45:39;1:15:00;Nachbereitung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Hausübungen;14.10.18;19:37:09;14.10.18;20:52:09;1:15:00;Nachbereitung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Kapitel 7;14.10.18;20:52:34;14.10.18;22:07:34;1:15:00;Vorlesung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Hausübungen;14.10.18;16:16:02;14.10.18;17:16:31;1:00:29;Nachbereitung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Hausübungen;14.10.18;17:16:33;14.10.18;18:02:13;0:45:40;Nachbereitung;STEOP;WS2018
STATMATH;Mathematik;Kapitel 1 wiederholt;15.10.18;11:03:35;15.10.18;15:03:37;4:00:02;Nachbereitung;STEOP;WS2018
STATMATH;Mathematik;Kapitel 1 wiederholt;15.10.18;18:30:48;15.10.18;21:30:50;3:00:02;Nachbereitung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Hausübungen;15.10.18;16:03:11;15.10.18;18:30:13;2:27:02;Nachbereitung;STEOP;WS2018
VWL;Grundlagen der Volkswirtschaftslehre;Hausübungen;15.10.18;08:00:34;15.10.18;09:15:34;1:15:00;Nachbereitung;STEOP;WS2018
