Week;Duration;Semester;Month;Sun;Temp;Youtube;HP;Weight
27.08.18;3:45:00;WS2018;201808;76,75;23,4;95;72,33333333;76,75833333
03.09.18;18:05:46;WS2018;201809;60;17,4;58;73,83333333;77,12333333
10.09.18;8:34:27;WS2018;201809;60;17,4;25;74,33333333;76,98
17.09.18;18:56:12;WS2018;201809;60;17,4;68;74,8;75,982
24.09.18;12:20:04;WS2018;201809;60;17,4;80;65,33333333;77,84833333
01.10.18;15:57:43;WS2018;201810;49,5;13;158;72,8;78,86
08.10.18;27:56:31;WS2018;201810;49,5;13;56;76;77,77333333
15.10.18;28:16:25;WS2018;201810;49,5;13;166;68,33333333;78,37333333
22.10.18;22:55:42;WS2018;201810;49,5;13;115;72,8;78,122
29.10.18;14:34:50;WS2018;201810;49,5;13;152;74,2;78,124
05.11.18;38:31:02;WS2018;201811;16,75;6,6;100;72,33333333;78,63666667
12.11.18;33:24:40;WS2018;201811;16,75;6,6;72;76;77,75333333
19.11.18;20:24:13;WS2018;201811;16,75;6,6;98;;
26.11.18;10:35:50;WS2018;201811;16,75;6,6;84;75;77,86
03.12.18;18:39:47;WS2018;201812;13,25;3;123;73,4;77,55
10.12.18;16:47:43;WS2018;201812;13,25;3;70;64,66666667;78,39666667
17.12.18;25:36:43;WS2018;201812;13,25;3;75;80,5;78,975
24.12.18;2:15:15;WS2018;201812;13,25;3;45;67;79,295
31.12.18;;WS2018;201812;13,25;3;29;;
07.01.19;10:57:44;WS2018;201901;15;0,9;148;90;77,1275
14.01.19;35:00:44;WS2018;201901;15;0,9;70;68,6;78,966
21.01.19;8:58:57;WS2018;201901;15;0,9;75;69,66666667;79,45333333
28.01.19;30:14:15;WS2018;201901;15;0,9;51;67,6;79,96
04.02.19;29:34:46;WS2018;201902;39;4,9;94;77,6;80,224
11.02.19;29:57:06;WS2018;201902;39;4,9;81;73;78,83833333
18.02.19;27:50:41;WS2018;201902;39;4,9;150;76,66666667;79,91
25.02.19;13:33:04;WS2018;201902;39;4,9;87;65,5;80,76
04.03.19;18:41:56;SS2019;201903;44,5;8,8;76;71,66666667;80,48333333
11.03.19;18:51:03;SS2019;201903;44,5;8,8;211;77,5;80,295
18.03.19;22:13:18;SS2019;201903;44,5;8,8;72;69,5;81,155
25.03.19;27:55:32;SS2019;201903;44,5;8,8;91;70;81,39
01.04.19;14:00:06;SS2019;201904;60,25;12;143;72,33333333;81,72333333
08.04.19;34:30:03;SS2019;201904;60,25;12;89;68,4;81,726
15.04.19;21:42:58;SS2019;201904;60,25;12;245;74;81,834
22.04.19;17:34:43;SS2019;201904;60,25;12;271;80;81,455
29.04.19;20:22:26;SS2019;201904;60,25;12;150;72,33333333;81,04
06.05.19;30:07:36;SS2019;201905;38,75;13,2;128;71,33333333;80,87833333
13.05.19;28:16:29;SS2019;201905;38,75;13,2;140;65;81,48
20.05.19;26:30:55;SS2019;201905;38,75;13,2;127;70,33333333;81,44333333
27.05.19;22:34:52;SS2019;201905;38,75;13,2;160;72,33333333;81,06666667
03.06.19;27:37:00;SS2019;201906;89;23,8;75;74,5;80,785
10.06.19;29:13:40;SS2019;201906;89;23,8;109;85;80,0675
17.06.19;32:32:29;SS2019;201906;89;23,8;144;70,33333333;80,06666667
24.06.19;8:15:07;SS2019;201906;89;23,8;102;;
01.07.19;;SS2019;201907;69;22,5;6;;
08.07.19;;SS2019;201907;69;22,5;23;;
15.07.19;;SS2019;201907;69;22,5;67;72,5;75,72
22.07.19;;SS2019;201907;69;22,5;139;84;75,995
29.07.19;;SS2019;201907;69;22,5;89;78;76,0225
05.08.19;;SS2019;201908;63,5;22,6;80;;
