"Date","dowjones"
"1980/01/02",824.57
"1980/01/09",850.09
"1980/01/16",865.19
"1980/01/23",877.56
"1980/01/30",881.91
"1980/02/06",881.83
"1980/02/13",903.84
"1980/02/20",886.86
"1980/02/27",855.12
"1980/03/05",844.88
"1980/03/12",819.54
"1980/03/19",800.94
"1980/03/26",762.12
"1980/04/02",787.8
"1980/04/09",785.92
"1980/04/16",771.25
"1980/04/23",789.25
"1980/04/30",817.06
"1980/05/07",821.25
"1980/05/14",819.62
"1980/05/21",831.06
"1980/05/28",860.32
"1980/06/04",858.02
"1980/06/11",872.7
"1980/06/18",881.91
"1980/06/25",887.54
"1980/07/02",876.02
"1980/07/09",897.27
"1980/07/16",904.44
"1980/07/23",928.58
"1980/07/30",936.18
"1980/08/06",938.23
"1980/08/13",949.23
"1980/08/20",945.31
"1980/08/27",943.09
"1980/09/03",953.16
"1980/09/10",938.48
"1980/09/17",961.26
"1980/09/24",964.76
"1980/10/01",939.42
"1980/10/08",963.99
"1980/10/15",972.44
"1980/10/22",955.12
"1980/10/29",929.18
"1980/11/05",953.16
"1980/11/12",964.93
"1980/11/19",991.04
"1980/11/26",989.68
"1980/12/03",972.27
"1980/12/10",916.21
"1980/12/17",928.5
"1980/12/24",963.05
"1980/12/31",963.99
"1981/01/07",980.89
"1981/01/14",966.47
"1981/01/21",946.25
"1981/01/28",942.58
"1981/02/04",941.98
"1981/02/11",942.49
"1981/02/18",947.1
"1981/02/25",954.4
"1981/03/04",971.44
"1981/03/11",967.67
"1981/03/18",994.06
"1981/03/25",1015.22
"1981/04/01",1014.14
"1981/04/08",993.43
"1981/04/15",1001.71
"1981/04/22",1007.02
"1981/04/29",1004.32
"1981/05/06",973.34
"1981/05/13",967.76
"1981/05/20",976.86
"1981/05/27",993.14
"1981/06/03",989.71
"1981/06/10",993.88
"1981/06/17",1006.56
"1981/06/24",999.33
"1981/07/01",967.66
"1981/07/08",953.48
"1981/07/15",954.15
"1981/07/22",924.66
"1981/07/29",937.4
"1981/08/05",953.58
"1981/08/12",945.21
"1981/08/19",926.46
"1981/08/26",899.26
"1981/09/02",884.23
"1981/09/09",853.88
"1981/09/16",851.6
"1981/09/23",840.94
"1981/09/30",849.98
"1981/10/07",868.72
"1981/10/14",850.65
"1981/10/21",851.03
"1981/10/28",837.61
"1981/11/04",866.82
"1981/11/11",857.12
"1981/11/18",844.08
"1981/11/25",878.14
"1981/12/02",882.61
"1981/12/09",888.22
"1981/12/16",868.72
"1981/12/23",869.67
"1981/12/30",873.1
"1982/01/06",861.02
"1982/01/13",838.95
"1982/01/20",845.89
"1982/01/27",842.66
"1982/02/03",845.03
"1982/02/10",836.66
"1982/02/17",827.63
"1982/02/24",826.77
"1982/03/03",815.16
"1982/03/10",804.89
"1982/03/17",795.85
"1982/03/24",823.34
"1982/03/31",822.77
"1982/04/07",836.85
"1982/04/14",838.09
"1982/04/21",843.42
"1982/04/28",852.64
"1982/05/05",854.45
"1982/05/12",865.77
"1982/05/19",835.9
"1982/05/26",828.77
"1982/06/02",816.88
"1982/06/09",795.57
"1982/06/16",796.9
"1982/06/23",813.17
"1982/06/30",811.93
"1982/07/07",799.66
"1982/07/14",828.39
"1982/07/21",832.19
"1982/07/28",811.83
"1982/08/04",803.46
"1982/08/11",777.21
"1982/08/18",829.43
"1982/08/25",884.89
"1982/09/01",895.05
"1982/09/08",915.75
"1982/09/15",930.46
"1982/09/22",927.61
"1982/09/29",906.27
"1982/10/06",944.26
"1982/10/13",1015.18
"1982/10/20",1034.12
"1982/10/27",1006.35
"1982/11/03",1065.49
"1982/11/10",1044.52
"1982/11/17",1027.5
"1982/11/24",1000
"1982/12/01",1031.09
"1982/12/08",1047.09
"1982/12/15",992.64
"1982/12/22",1035.04
"1982/12/29",1059.6
"1983/01/05",1044.89
"1983/01/12",1083.61
"1983/01/19",1068.06
"1983/01/26",1037.99
"1983/02/02",1062.64
"1983/02/09",1067.42
"1983/02/16",1087.43
"1983/02/23",1096.94
"1983/03/02",1135.06
"1983/03/09",1132.64
"1983/03/16",1116
"1983/03/23",1140.87
"1983/03/30",1143.29
"1983/04/06",1113.49
"1983/04/13",1156.64
"1983/04/20",1191.47
"1983/04/27",1208.4
"1983/05/04",1212.65
"1983/05/11",1219.72
"1983/05/18",1203.56
"1983/05/25",1229.01
"1983/06/01",1202.21
"1983/06/08",1185.5
"1983/06/15",1237.28
"1983/06/22",1245.69
"1983/06/29",1213.84
"1983/07/06",1220.65
"1983/07/13",1197.82
"1983/07/20",1227.86
"1983/07/27",1230.47
"1983/08/03",1197.82
"1983/08/10",1175.98
"1983/08/17",1206.5
"1983/08/24",1184.25
"1983/08/31",1216.16
"1983/09/07",1244.11
"1983/09/14",1229.47
"1983/09/21",1243.29
"1983/09/28",1241.97
"1983/10/05",1250.2
"1983/10/12",1259.65
"1983/10/19",1246.75
"1983/10/26",1243.8
"1983/11/02",1237.3
"1983/11/09",1232.52
"1983/11/16",1251.32
"1983/11/23",1275.61
