"AUD","HUF","JPY","NOK","SEK","GBP"
1.5346,254.53,102.75,8.062,8.552,0.6246
1.5677,254.52,105.88,8.15,8.6215,0.6296
1.5773,254.51,107.34,8.206,8.6415,0.6324
1.5828,254.45,108.72,8.203,8.6445,0.6302
1.5738,254.63,108.09,8.1945,8.645,0.6262
1.5587,254.69,107.26,8.19,8.657,0.6249
1.5664,254.72,108.85,8.2075,8.662,0.6251
1.5653,254.78,109.1,8.216,8.6725,0.6253
1.545,254.79,108.89,8.1795,8.6475,0.6255
1.5332,255.01,108.05,8.1365,8.623,0.6221
1.5212,254.91,105.81,8.0965,8.564,0.618
1.5222,254.94,106.42,8.1065,8.5705,0.6174
1.5222,254.99,106.99,8.0755,8.5835,0.6172
1.5182,255.08,106.44,8.0865,8.591,0.6127
1.5215,255.12,105.53,8.077,8.5865,0.6113
1.5295,255.12,105.54,8.0455,8.559,0.6062
1.5275,255.15,105.69,8.0415,8.5125,0.6083
1.5282,255.18,106.04,8.069,8.5395,0.6094
1.5289,255.3,105.43,8.0815,8.5355,0.6089
1.5178,255.33,103.74,8.044,8.524,0.6051
1.543,255.36,104.62,8.0825,8.6,0.6047
1.5277,255.42,104.62,8.073,8.586,0.602
1.5273,255.45,105.51,8.0175,8.518,0.6051
1.5382,255.59,105.78,8.0475,8.4845,0.6086
1.557,255.61,105.99,8.083,8.4715,0.6195
1.5261,255.58,106.02,8.059,8.463,0.6134
1.5634,255.61,107.91,8.072,8.475,0.6182
1.562,255.66,108.16,8.0825,8.4955,0.6169
1.5587,255.75,107.11,8.0695,8.48,0.6126
1.5526,255.78,107.42,8.0395,8.4425,0.6136
1.5636,255.81,106.85,8.0795,8.485,0.6201
1.5597,255.85,106.46,8.0685,8.494,0.6159
1.5531,255.89,106.97,8.1125,8.547,0.6129
1.5646,256.02,109.3,8.1565,8.577,0.6158
1.5627,256.01,109.27,8.1455,8.5375,0.6144
1.5717,256.73,109.73,8.17,8.572,0.6161
1.5976,257.81,111.11,8.1915,8.5855,0.6226
1.6225,257.3,111.88,8.1955,8.5935,0.6252
1.6067,256.45,109.55,8.1475,8.557,0.6188
1.5834,256.71,108.79,8.1275,8.5255,0.6155
1.571,256.78,105.22,8.0625,8.417,0.6072
1.5795,256.81,106.81,8.0805,8.432,0.6134
1.597,256.49,104.65,8.0825,8.425,0.6123
1.5952,256.55,104.38,8.07,8.4415,0.614
1.5913,256.55,104.17,8.084,8.47,0.6117
1.596,256.57,103.47,8.0765,8.4425,0.6111
1.5879,256.61,103,8.084,8.4345,0.6096
1.5721,256.64,102.24,8.085,8.431,0.6043
1.5702,256.83,102.44,8.1175,8.448,0.6086
1.5658,256.96,102.27,8.0995,8.4415,0.6095
1.5819,257.24,102.23,8.1205,8.421,0.6146
1.5631,257.41,100.93,8.121,8.398,0.6123
1.5737,257.4,101.74,8.14,8.415,0.614
1.5753,256.99,101.73,8.1585,8.4325,0.6155
1.5881,256.94,102.31,8.154,8.417,0.6146
1.6038,256,103.71,8.1705,8.4225,0.6201
1.5929,257.07,103.46,8.166,8.3925,0.6176
1.5817,256.85,102.88,8.1475,8.364,0.6125
1.5968,257.21,103.88,8.106,8.3725,0.6104
1.6005,257.44,104.09,8.13,8.375,0.6115
1.5818,257,103.77,8.127,8.34,0.6087
1.5721,257.64,102.59,8.081,8.271,0.6088
1.5735,257.97,100.77,8.0625,8.2455,0.6032
1.5611,258.01,100.35,8.0815,8.25,0.601
1.5811,258.38,98.53,8.0885,8.2825,0.5985
1.5741,258.47,100.27,8.109,8.295,0.6
1.5809,258.49,100.74,8.1145,8.3005,0.5971
1.5954,258.91,101.71,8.157,8.329,0.6088
1.5962,258.93,101.04,8.133,8.3015,0.6075
1.6043,259.14,100.71,8.127,8.2728,0.6047
1.6025,258.25,101.92,8.1465,8.277,0.6064
1.6099,258.32,102.61,8.1765,8.268,0.6055
1.6078,258.25,101.11,8.1585,8.2915,0.6038
1.5916,257.94,101.09,8.148,8.2895,0.5999
1.5999,257.87,100.86,8.149,8.2965,0.6016
1.6168,258.95,99.4,8.2075,8.3295,0.6026
1.6006,259.15,98.97,8.1775,8.297,0.6003
1.584,258.51,98.79,8.1733,8.263,0.5983
1.5795,258.08,98.37,8.1655,8.2442,0.5934
1.5637,258.02,98.15,8.163,8.243,0.5896
1.5608,258.05,97.85,8.1535,8.1825,0.5827
1.5575,258.23,97.57,8.175,8.188,0.5827
1.5552,258.45,97.48,8.1475,8.14,0.5794
1.5558,258.21,99.15,8.1385,8.1435,0.5827
1.5156,258.26,97.46,8.06,8.055,0.5711
1.5155,258.36,97.35,8.1055,8.117,0.5818
1.5156,258.33,97.21,8.125,8.1465,0.5838
1.5228,258.4,97.17,8.1375,8.1415,0.5851
1.5545,258.35,98.25,8.1495,8.1645,0.5847
1.5612,258.4,99.13,8.1935,8.2055,0.5976
