"date","inflation","unemployment","oil"
"1998Apr",1.4,10.53,13.017
"1998May",1.3,10.47,13.0171
"1998Jun",1.4,10.42,12.2412
"1998Jul",1.3,10.33,11.8878
"1998Aug",1.1,10.28,11.2511
"1998Sep",1,10.21,11.8583
"1998Oct",0.9,10.17,11.1202
"1998Nov",0.8,10.13,10.185
"1998Dec",0.8,10.07,8.7563
"1999Jan",0.8,9.95,9.5267
"1999Feb",0.8,9.89,9.4106
"1999Mar",1,9.83,11.878
"1999Apr",1.1,9.81,14.4228
"1999May",1,9.75,14.896
"1999Jun",0.9,9.68,15.6664
"1999Jul",1.1,9.6,18.1469
"1999Aug",1.2,9.55,19.3069
"1999Sep",1.2,9.48,21.6807
"1999Oct",1.4,9.39,20.7934
"1999Nov",1.5,9.35,23.4241
"1999Dec",1.7,9.28,24.8273
"2000Jan",1.9,9.19,24.9276
"2000Feb",1.9,9.12,27.4256
"2000Mar",1.9,9.04,28.1746
"2000Apr",1.7,8.93,24.5615
"2000May",1.7,8.86,30.2532
"2000Jun",2.1,8.8,31.2514
"2000Jul",2,8.72,30.4733
"2000Aug",2,8.65,33.3047
"2000Sep",2.5,8.59,37.2103
"2000Oct",2.4,8.47,36.7711
"2000Nov",2.5,8.41,37.7163
"2000Dec",2.5,8.34,28.8488
"2001Jan",2,8.22,27.4682
"2001Feb",1.9,8.19,29.8793
"2001Mar",2.2,8.16,28.0598
"2001Apr",2.7,8.14,29.7733
"2001May",3.1,8.15,32.6926
"2001Jun",2.8,8.12,32.4803
"2001Jul",2.6,8.13,29.4168
"2001Aug",2.3,8.14,28.7054
"2001Sep",2.2,8.17,28.7614
"2001Oct",2.2,8.21,23.8075
"2001Nov",2,8.24,21.6987
"2001Dec",2,8.27,21.469
"2002Jan",2.6,8.28,22.5709
"2002Feb",2.5,8.35,23.4545
"2002Mar",2.5,8.34,27.8976
"2002Apr",2.3,8.43,29.2965
"2002May",2,8.47,28.1191
"2002Jun",1.9,8.51,25.812
"2002Jul",2,8.56,25.931
"2002Aug",2.1,8.59,26.9925
"2002Sep",2.1,8.64,28.9213
"2002Oct",2.3,8.69,27.8898
"2002Nov",2.3,8.74,24.2473
"2002Dec",2.3,8.8,27.1056
"2003Jan",2.1,8.94,28.2833
"2003Feb",2.4,8.96,29.8076
"2003Mar",2.5,8.99,27.1826
"2003Apr",2.1,8.98,22.8764
"2003May",1.8,9.01,21.938
"2003Jun",1.9,9.04,23.3076
"2003Jul",1.9,9.02,24.9572
"2003Aug",2.1,8.99,26.4694
"2003Sep",2.2,9.03,23.9297
"2003Oct",2,9.03,24.7033
"2003Nov",2.2,9.04,24.646
"2003Dec",2,9.11,24.0496
"2004Jan",1.9,9.2,24.2096
"2004Feb",1.6,9.26,24.0717
"2004Mar",1.7,9.29,26.6673
"2004Apr",2,9.24,27.6457
"2004May",2.5,9.23,30.8791
"2004Jun",2.4,9.21,29.3277
"2004Jul",2.3,9.21,30.7268
"2004Aug",2.3,9.23,34.1204
"2004Sep",2.1,9.25,35.0205
"2004Oct",2.4,9.24,39.3565
"2004Nov",2.2,9.25,34.4724
"2004Dec",2.4,9.21,29.9761
"2005Jan",1.9,9.15,33.6007
"2005Feb",2.1,9.17,35.2464
"2005Mar",2.1,9.15,40.4137
"2005Apr",2.1,9.18,41.3922
"2005May",2,9.15,39.4243
"2005Jun",2.1,9.17,45.7259
"2005Jul",2.2,9.12,48.2549
"2005Aug",2.2,9.07,52.0461
"2005Sep",2.6,9.07,52.1871
"2005Oct",2.5,9.07,49.3474
"2005Nov",2.3,8.98,47.8653
"2005Dec",2.2,8.92,48.5179
"2006Jan",2.4,8.82,52.4815
"2006Feb",2.3,8.77,51.817
"2006Mar",2.2,8.68,52.5811
"2006Apr",2.5,8.57,57.5616
"2006May",2.5,8.52,55.7091
"2006Jun",2.5,8.38,55.4378
"2006Jul",2.4,8.34,58.7493
"2006Aug",2.3,8.31,57.794
"2006Sep",1.7,8.23,50.282
"2006Oct",1.6,8.15,47.6976
"2006Nov",1.9,8.06,46.7381
"2006Dec",1.9,7.95,47.4282
"2007Jan",1.8,7.89,42.2269
"2007Feb",1.8,7.76,44.9066
"2007Mar",1.9,7.66,47.2648
"2007Apr",1.9,7.58,50.2325
"2007May",1.9,7.56,50.2504
"2007Jun",1.9,7.51,52.5685
"2007Jul",1.8,7.58,55.2325
"2007Aug",1.7,7.53,52.3674
"2007Sep",2.1,7.46,55.1692
"2007Oct",2.6,7.41,57.7252
"2007Nov",3.1,7.33,62.8231
"2007Dec",3.1,7.35,62.7599
"2008Jan",3.2,7.3,62.4387
"2008Feb",3.3,7.28,64.0862
"2008Mar",3.6,7.25,66.1209
"2008Apr",3.3,7.39,69.8474
"2008May",3.7,7.43,80.1039
"2008Jun",4,7.57,85.9319
"2008Jul",4,7.55,85.2843
"2008Aug",3.8,7.66,77.0383
"2008Sep",3.6,7.71,69.9981
"2008Oct",3.2,7.82,55.2039
"2008Nov",2.1,8.04,43.1188
"2008Dec",1.6,8.31,32.077
"2009Jan",1.1,8.67,34.2974
"2009Feb",1.2,8.98,34.5613
"2009Mar",0.6,9.28,36.5235
"2009Apr",0.6,9.42,39.0474
"2009May",0,9.52,42.8033
"2009Jun",-0.1,9.65,49.5164
"2009Jul",-0.6,9.75,46.459
"2009Aug",-0.2,9.85,51.1313
"2009Sep",-0.3,9.98,46.9331
"2009Oct",-0.1,10.01,49.7654
"2009Nov",0.5,10.04,52.0729
"2009Dec",0.9,10.08,51.6425
"2010Jan",0.9,10.08,53.9784
"2010Feb",0.8,10.13,54.4891
"2010Mar",1.6,10.14,59.0665
"2010Apr",1.6,10.19,63.9929
"2010May",1.7,10.2,61.6167
"2010Jun",1.5,10.17,62.1816
"2010Jul",1.7,10.14,58.9178
"2010Aug",1.6,10.14,59.9151
"2010Sep",1.9,10.13,59.8432
"2010Oct",1.9,10.16,60.2167
"2010Nov",1.9,10.08,63.1009
"2010Dec",2.2,10.04,69.578
"2011Jan",2.3,10,72.5877
"2011Feb",2.4,9.92,76.6326
"2011Mar",2.7,9.89,82.1068
"2011Apr",2.8,9.84,85.1395
"2011May",2.7,9.92,79.8296
"2011Jun",2.7,9.95,79.0854
"2011Jul",2.6,10.09,81.7058
"2011Aug",2.5,10.19,76.714
"2011Sep",3,10.34,79.8159
"2011Oct",3,10.42,78.9365
"2011Nov",3,10.62,81.3574
"2011Dec",2.7,10.7,81.6568
"2012Jan",2.7,10.73,86.2344
"2012Feb",2.7,10.86,89.7464
"2012Mar",2.7,11.02,94.2123
"2012Apr",2.6,11.18,91.3811
"2012May",2.4,11.27,86.0061
"2012Jun",2.4,11.4,76.4181
"2012Jul",2.4,11.44,83.3615
"2012Aug",2.6,11.47,90.4529
"2012Sep",2.6,11.55,87.9202
"2012Oct",2.5,11.71,85.59
"2012Nov",2.2,11.79,84.8372
"2012Dec",2.2,11.86,82.7839
"2013Jan",2,12,84.1874
"2013Feb",1.8,12.03,86.7123
"2013Mar",1.7,12.04,84.1555
"2013Apr",1.2,12.06,79.3453
"2013May",1.4,12.07,79.2452
"2013Jun",1.6,12.06,78.3375
"2013Jul",1.6,12.02,81.8711
"2013Aug",1.3,12.02,82.5541
"2013Sep",1.1,12.02,83.0109
"2013Oct",0.7,11.95,79.9776
"2013Nov",0.9,11.91,80.0078
"2013Dec",0.8,11.86,80.7921
"2014Jan",0.8,11.85,78.7576
"2014Feb",0.7,11.79,79.4208
"2014Mar",0.5,11.75,77.7698
"2014Apr",0.7,11.66,78.1769
"2014May",0.5,11.64,79.4203
"2014Jun",0.5,11.58,82.2801
"2014Jul",0.4,11.62,79.9469
"2014Aug",0.4,11.55,77.5741
"2014Sep",0.3,11.55,76.4254
"2014Oct",0.4,11.54,69.4637
"2014Nov",0.3,11.54,64.0813
"2014Dec",-0.2,11.43,51.28
"2015Jan",-0.6,11.37,42.8153
"2015Feb",-0.3,11.34,51.9588
