_date_	hicp	unemp
1994-01-01	2.9	3.97
1994-02-01	2.9	3.90
1994-03-01	2.9	3.83
1994-04-01	2.8	3.83
1994-05-01	2.7	3.86
1994-06-01	2.6	3.83
1994-07-01	2.7	3.82
1994-08-01	2.8	3.81
1994-09-01	2.8	3.82
1994-10-01	2.5	3.85
1994-11-01	2.5	3.82
1994-12-01	2.4	3.80
1995-01-01	2.1	3.81
1995-02-01	2.0	3.77
1995-03-01	1.9	3.75
1995-04-01	1.9	3.78
1995-05-01	1.9	3.83
1995-06-01	2.1	3.88
1995-07-01	1.6	3.91
1995-08-01	1.3	3.98
1995-09-01	1.2	4.01
1995-10-01	1.2	4.06
1995-11-01	1.2	4.16
1995-12-01	1.1	4.24
1996-01-01	1.6	4.27
1996-02-01	1.7	4.35
1996-03-01	1.9	4.46
1996-04-01	1.8	4.49
1996-05-01	1.6	4.40
1996-06-01	1.7	4.33
1996-07-01	1.8	4.31
1996-08-01	1.5	4.30
1996-09-01	1.4	4.28
1996-10-01	1.7	4.29
1996-11-01	2.0	4.28
1996-12-01	2.3	4.21
1997-01-01	1.2	4.24
1997-02-01	1.4	4.26
1997-03-01	1.2	4.24
1997-04-01	1.2	4.30
1997-05-01	1.3	4.35
1997-06-01	1.0	4.38
1997-07-01	0.9	4.43
1997-08-01	1.3	4.45
1997-09-01	1.2	4.47
1997-10-01	1.1	4.52
1997-11-01	1.1	4.56
1997-12-01	1.0	4.52
1998-01-01	1.2	4.54
1998-02-01	1.0	4.60
1998-03-01	1.0	4.66
1998-04-01	1.2	4.66
1998-05-01	1.0	4.64
1998-06-01	0.8	4.61
1998-07-01	0.8	4.54
1998-08-01	0.7	4.44
1998-09-01	0.6	4.38
1998-10-01	0.7	4.33
1998-11-01	0.5	4.24
1998-12-01	0.5	4.12
1999-01-01	0.3	4.03
1999-02-01	0.2	4.02
1999-03-01	0.2	4.00
1999-04-01	0.1	3.98
1999-05-01	0.4	3.95
1999-06-01	0.2	3.90
1999-07-01	0.3	3.90
1999-08-01	0.5	3.90
1999-09-01	0.6	3.89
1999-10-01	0.8	3.88
1999-11-01	1.0	3.93
1999-12-01	1.7	3.91
2000-01-01	1.4	3.93
2000-02-01	2.0	3.96
2000-03-01	1.9	3.89
2000-04-01	1.8	3.75
2000-05-01	1.6	3.66
2000-06-01	2.4	3.61
2000-07-01	2.0	3.51
2000-08-01	1.8	3.47
2000-09-01	2.3	3.42
2000-10-01	2.2	3.39
2000-11-01	2.3	3.40
2000-12-01	1.8	3.36
2001-01-01	2.2	3.41
2001-02-01	1.8	3.45
2001-03-01	1.9	3.42
2001-04-01	2.6	3.41
2001-05-01	2.9	3.45
2001-06-01	2.6	3.53
2001-07-01	2.8	3.60
2001-08-01	2.4	3.67
2001-09-01	2.4	3.74
2001-10-01	2.3	3.84
2001-11-01	1.9	3.95
2001-12-01	1.8	4.05
2002-01-01	2.0	4.12
2002-02-01	1.7	4.16
2002-03-01	1.7	4.19
2002-04-01	1.7	4.23
2002-05-01	1.7	4.24
2002-06-01	1.5	4.22
2002-07-01	1.5	4.21
2002-08-01	2.1	4.24
2002-09-01	1.6	4.25
2002-10-01	1.7	4.18
2002-11-01	1.7	4.13
2002-12-01	1.7	4.13
2003-01-01	1.7	4.10
2003-02-01	1.8	4.06
2003-03-01	1.9	4.07
2003-04-01	1.3	4.09
2003-05-01	0.9	4.19
2003-06-01	1.0	4.30
2003-07-01	1.0	4.35
2003-08-01	1.0	4.38
2003-09-01	1.4	4.42
2003-10-01	1.1	4.44
2003-11-01	1.3	4.45
2003-12-01	1.3	4.50
2004-01-01	1.2	5.18
2004-02-01	1.5	4.96
2004-03-01	1.5	4.86
2004-04-01	1.5	4.85
2004-05-01	2.1	4.82
2004-06-01	2.3	4.77
2004-07-01	2.1	4.74
2004-08-01	2.2	4.94
2004-09-01	1.8	5.12
2004-10-01	2.4	5.04
2004-11-01	2.3	5.01
2004-12-01	2.5	5.03
2005-01-01	2.4	5.00
2005-02-01	2.3	4.96
2005-03-01	2.4	5.00
